"preference_model","app_rate","offer_rate","attend_rate","tot_math","amte_math","sd_Y_math","bw_gap_math","hw_gap_math","pov_gap_math","Y_black_math","Y_white_math","Y_hisp_math","Y_pov_math","Y_nonpov_math","Y_asian_math","tot_ela","amte_ela","sd_Y_ela","bw_gap_ela","hw_gap_ela","pov_gap_ela","Y_black_ela","Y_white_ela","Y_hisp_ela","Y_pov_ela","Y_nonpov_ela","Y_asian_ela","iter"
1,0.997462280036444,0.072255565385811,0.0346837628853685,0.140399329746957,0.387628589917018,1.24535292082654,-0.927492559543415,-0.642509191707351,-0.150479056649383,-0.362654835689246,0.564837723854169,-0.0776714678531818,-0.0584186584073654,0.0920603982420173,0.998990809923644,0.121655669084809,0.346032727760473,1.26982961238216,-0.899905428856108,-0.668214075257006,-0.157218018248622,-0.326668713993941,0.573236714862167,-0.0949773603948391,-0.0716551621988647,0.0855628560497577,0.936226178804263,1
1,0.997405038232755,0.0712792872071279,0.0342830702595439,0.139955692445454,0.391374945480048,1.24902970088411,-0.922521379853922,-0.641625173508451,-0.158510572431291,-0.361028887313059,0.561492492540863,-0.0801326809675884,-0.0628161640504802,0.0956944083808104,1.01595624230316,0.121603468889569,0.349934733312198,1.26990982435363,-0.926978839786116,-0.680695448098152,-0.160207966468437,-0.345064009761212,0.581914830024904,-0.0987806180732483,-0.077492633772331,0.0827153326961061,0.911860164647535,2
1,0.99758153379413,0.071893080858796,0.0347743957412098,0.139584893080952,0.391315687508573,1.24911053968214,-0.929565403747253,-0.654777404346267,-0.159725321370782,-0.354712928142996,0.574852475604257,-0.0799249287420104,-0.0609415352461184,0.098783786124664,1.01345639225074,0.120303571090573,0.34736425216267,1.267501747187,-0.921355406466864,-0.675029008172129,-0.155380063620972,-0.343161138604119,0.578194267862745,-0.0968347403093837,-0.0742387891569137,0.0811412744640578,0.921005732112,3
1,0.997242853122302,0.071587446605982,0.0338442164312597,0.141684603835276,0.385987163075467,1.24716740500325,-0.935565240410554,-0.667218573431756,-0.15489029418975,-0.348749481059211,0.586815759351343,-0.0804028140804126,-0.0584565893035182,0.0964337048862315,1.02599215073658,0.122533841356667,0.345352156990737,1.26945377035652,-0.90978104874999,-0.669982922923147,-0.156249317688427,-0.337169278495745,0.572611770254245,-0.0973711526689019,-0.0739222528217745,0.0823270648666525,0.920447408574418,4
1,0.997300094925991,0.0717363957698581,0.0343450822135406,0.143307577074685,0.393900175719545,1.25337230939956,-0.959258915487719,-0.671300490961158,-0.158296789728317,-0.366845429433135,0.592413486054584,-0.0788870049065742,-0.0593729412583619,0.0989238484699554,1.0257507778771,0.123808786777856,0.353275409040479,1.2687733493179,-0.914058186529717,-0.654743903648471,-0.15825333654002,-0.355660370620878,0.558397815908839,-0.0963460877396315,-0.0763674921639972,0.081885844376023,0.934090895765747,5
1,0.997657856199049,0.0723131209776902,0.0350558346093485,0.138136274913908,0.395626330568387,1.24962837912181,-0.945304508080058,-0.656441672974981,-0.150692543619155,-0.370553847763864,0.574750660316194,-0.0816910126587871,-0.061627317257873,0.0890652263612819,1.01946323706703,0.118429403403362,0.351410323249033,1.27040301468175,-0.921756418123911,-0.664775643496346,-0.155875899668383,-0.354459357930863,0.567297060193048,-0.0974785833032971,-0.0765217099461088,0.0793541897222744,0.927261420549986,6
1,0.997419348683677,0.0725312774993305,0.0348220972442842,0.137249248803624,0.403738445650733,1.24689514534221,-0.940071727933435,-0.661441496339854,-0.158717555111386,-0.357821567890139,0.582250160043296,-0.0791913362965582,-0.0602079324046595,0.0985096227067265,1.02270508430536,0.119470594435334,0.357087487480907,1.26664198440927,-0.917079747174172,-0.6856499644031,-0.156752150772164,-0.331355644343868,0.585724102830303,-0.0999258615727964,-0.0752188698991854,0.0815332808729788,0.940712824712724,7
1,0.997443199435214,0.0717452331648342,0.0341018045478613,0.141195190737622,0.388889112104494,1.24726076079625,-0.93039456781928,-0.637813285215655,-0.153034925879263,-0.372713995118418,0.557680572700862,-0.0801327125147929,-0.0622727534310618,0.0907621724482017,1.01976837520643,0.12156809668249,0.347581425757183,1.26528583146981,-0.902023498923533,-0.662994537560186,-0.161237888330804,-0.336848222068691,0.565175276854842,-0.0978192607053433,-0.077977649672623,0.0832602386581814,0.905883420502473,8
1,0.997400268082447,0.0716717999732175,0.0340350224435572,0.139880176214838,0.39340452272805,1.25207237911586,-0.935610521449699,-0.648490344823235,-0.153552677729209,-0.368137024836497,0.567473496613202,-0.0810168482100331,-0.0615804905477558,0.0919721871814532,1.01929349287706,0.120971059163631,0.352864173604515,1.26908366494018,-0.915656519123556,-0.671258696423556,-0.157383499152233,-0.339753005199091,0.575903513924465,-0.0953551824990906,-0.0732618990207893,0.0841216001314434,0.925752453823497,9
1,0.997199921769535,0.0712078450131547,0.0342210583055472,0.142812582924338,0.390751449169544,1.24647899311693,-0.934071528848138,-0.644347339303136,-0.15649370531687,-0.3663615617063,0.567709967141838,-0.0766373721612982,-0.0590511207966823,0.0974425845201879,1.02570729447912,0.123107212017326,0.34867919174199,1.27151444816058,-0.92522226512212,-0.68179063513151,-0.164484215472238,-0.341623249329269,0.583599015792851,-0.0981916193386587,-0.0773701656966604,0.0871140497755778,0.915183671914665,10
