estimate,stderr,D
.1585909293746144,.0307964975032024,1331101
.1836064662744944,.0493333295598604,1350001
.5887865370292973,.0285399986166341,1521901
.6599804392907788,.065268189678806,1643802
.1263851702827674,.0257610847419854,1713701
.0756922072479054,.0466971936223068,1739001
.3760458604238779,.0337299522010188,1802802
.1254090788740052,.025835649209237,1803802
.2713023722689357,.039764799977362,1804702
.261158858531602,.0328055491908214,1804703
.3654180490437826,.0360118877344398,1806002
.3100674826032311,.0485257523465587,1806602
.2127740210010051,.0275458616564644,1807502
.3124664014112641,.0265052741379018,1808002
.163410558975924,.0270092567686266,1810302
.4492855795249364,.0289681329822697,1810702
.4005663852905453,.0243203248403698,1811002
.2643600497356972,.0556448184752584,1811202
.2119791012037259,.0263410992745414,1811802
.413669027666099,.0497104335695713,1811803
.2932141971123213,.0150905554020279,1812702
.173685507147191,.0197549132611617,1813702
.356487669658115,.0350604800915438,1815102
.2491463726952209,.0349063601360497,1816802
.2780363487491992,.0517465690387118,1817902
.3055983134583419,.0271336033041397,1818202
-.1975425123086818,.0549048661035948,1820801
.2891424597980768,.0268031210501094,1820802
.3677019411652179,.0604373791125016,1820803
.3983576099725391,.0226880307202155,1821702
.307085976340385,.0313201087620634,1822602
.1037407409457611,.0238185023102974,1823502
.2106213076404823,.0318356604356736,1823702
.4869573427412999,.0401517689428827,1824002
.1567037006565163,.0451398869817545,1825502
.1516669933434171,.0351300402829988,1825902
.2618390901958171,.0309583068398551,1826802
.1423410405632288,.0247563472519397,1827202
.1931878695056309,.0351048627458212,1832102
.2182032232724663,.0378153985028749,1832103
.2379196315910761,.032302161552709,1835202
.4301727761150454,.0195658050951855,1835402
.1175290727610863,.0127719198863078,1835602
.2839963987200284,.025196503618627,1836302
.1718671350145333,.0317829443010953,1838702
-.0167124635969976,.1039876467448526,1839601
-.1073679045059496,.0324091829019796,1839602
.095103941838793,.0848643841876445,1839603
-.0665724177949061,.0552161047832654,1842502
-.118622232912768,.0660373377337473,1849301
.1531700390771044,.0213600234209011,1849302
.0459753496034197,.0213851802975763,1874101
.1089153681343381,.0409971713861499,1884201
