"preference_model","app_rate","offer_rate","attend_rate","tot_math","amte_math","sd_Y_math","bw_gap_math","hw_gap_math","pov_gap_math","Y_black_math","Y_white_math","Y_hisp_math","Y_pov_math","Y_nonpov_math","Y_asian_math","tot_ela","amte_ela","sd_Y_ela","bw_gap_ela","hw_gap_ela","pov_gap_ela","Y_black_ela","Y_white_ela","Y_hisp_ela","Y_pov_ela","Y_nonpov_ela","Y_asian_ela","attned_rate_black","attend_rate_hisp","attend_rate_white","attend_rate_asian","n_over_sub_j","n_80_enroll_j","n_full_enroll_j","iter"
4,0.847945128398009,0.139366019600584,0.118174737384537,0.250310113661481,0.325486597141481,1.24346461650968,-0.944673956947923,-0.65793117468301,-0.230596758340325,-0.358446524566624,0.5862274323813,-0.0717037423017104,-0.0618166220024102,0.168780136337915,0.936305672122201,0.211705629875251,0.283759850470924,1.26705870634784,-0.91964722692045,-0.642956067021775,-0.220924505352356,-0.354193170595365,0.565454056325085,-0.0775020106966905,-0.0663785953177146,0.154545910034641,0.869913442208522,0.108993141642786,0.0996791310900997,0.300404131118096,0.111434990936093,NA,684,671,1
4,0.849242287382908,0.138989245211957,0.118035544525426,0.249874766519548,0.325104808375618,1.24016875451997,-0.946436578850689,-0.649512514506003,-0.22979118207555,-0.36511390548929,0.581322673361398,-0.0681898411446043,-0.0604932012691034,0.169297980806446,0.925307412320659,0.211508498667874,0.283573831350363,1.26731732552293,-0.918492653896484,-0.643271395384936,-0.225692449830498,-0.349042924003443,0.569449729893041,-0.0738216654918951,-0.0639059190777942,0.161786530752704,0.873746186084155,0.107447596355089,0.0995975542485996,0.299730579254603,0.111154137482021,NA,684,673,2
4,0.848223514116229,0.139480887672304,0.118310968693453,0.249825347558622,0.325987279271395,1.24235615785944,-0.958229498953709,-0.65241384760317,-0.234393076487728,-0.372340016286706,0.585889482667003,-0.066524364936167,-0.0611838837921153,0.173209192695613,0.934002657130279,0.211034255305374,0.28382086681879,1.26719113821338,-0.912441277229757,-0.642910486259496,-0.219985252559473,-0.344766745757267,0.567674531472489,-0.0752359547870068,-0.0631970663568109,0.156788186202662,0.872781766458605,0.109733715426474,0.099022631746599,0.303135758120042,0.111273287432233,NA,689,677,3
4,0.847906628245489,0.139288520982868,0.118103660179885,0.249566686718581,0.326304134194904,1.24191148545388,-0.958066427992262,-0.666455272277812,-0.233080041555129,-0.362841464500948,0.595224963491314,-0.0712303087864985,-0.0619135849685697,0.171166456586559,0.953642930343256,0.211282035914164,0.283938749464847,1.26682641023974,-0.916075706380292,-0.641790466118405,-0.225835472618963,-0.352396237045163,0.563679469335129,-0.0781109967832757,-0.068180827685633,0.15765464493333,0.870860373039922,0.107930579257494,0.0994305159540994,0.300553809309984,0.110762644788466,NA,689,678,4
4,0.848584823239877,0.139250490343205,0.118165852733955,0.250191230721609,0.324540809586446,1.23998933252299,-0.94853955370782,-0.653843110599988,-0.225248592863574,-0.365218882844823,0.583320670862998,-0.0705224397369901,-0.0606000065116412,0.164648586351933,0.929036131334698,0.211421695157837,0.282572536690889,1.26694922974872,-0.909799528413197,-0.644520106860453,-0.220501426782213,-0.340958655606487,0.56884087280671,-0.0756792340537436,-0.0630802959806183,0.157421130801594,0.871256099073887,0.105805454486911,0.0995082081840995,0.300516389762012,0.110698814457995,NA,689,671,5
4,0.848679592846079,0.139311711787162,0.118231006838219,0.250683034566791,0.324987914955308,1.2419788308945,-0.949049516619423,-0.656329594019781,-0.231176053805849,-0.360331972838228,0.588717543781195,-0.0676120502385865,-0.0594605741966145,0.171715479609234,0.92775928795831,0.211714050338648,0.283570035212715,1.26917358661542,-0.922729570181314,-0.646921643111584,-0.223741328114979,-0.351621291246938,0.571108278934376,-0.0758133641772075,-0.0653576001925931,0.158383727922386,0.870619913694126,0.1084135621599,0.0996130926945996,0.301040263433618,0.111047753597903,NA,690,673,6
4,0.847989551650916,0.139320301886265,0.118142160332404,0.250447707974305,0.3255868894859,1.24330731463423,-0.945683177568754,-0.654098498202866,-0.234405380779748,-0.363590716084056,0.582092461484698,-0.0720060367181678,-0.0639727431794947,0.170432637600253,0.947324379899113,0.211507475692191,0.284112695504539,1.26832777015177,-0.929196530628751,-0.648340363522788,-0.226953353302994,-0.355819922675226,0.573376607953525,-0.0749637555692634,-0.065074324343745,0.161879028959249,0.881540644342508,0.108188170138777,0.0992673622710993,0.300142194282293,0.111043498242538,NA,683,672,7
4,0.848691439046855,0.139013155598981,0.117979275071744,0.249762190991338,0.325409059431445,1.24269475199302,-0.960259695908104,-0.668355492310902,-0.239202950088651,-0.362524967086953,0.597734728821152,-0.0706207634897507,-0.0632043347943972,0.175998615294254,0.938569411406127,0.211201755930278,0.283188070693681,1.26656625124979,-0.911752738659296,-0.637396490291297,-0.21829886450847,-0.349572403461255,0.562180335198041,-0.0752161550932551,-0.0649312416374953,0.153367622870974,0.84816435052814,0.108284766719258,0.0993411698895993,0.299019607843137,0.111094562506915,NA,682,670,8
4,0.849029055768952,0.139313669406036,0.118281353191515,0.249960271636279,0.325126002159383,1.24183812277474,-0.954241805276814,-0.663294853721533,-0.232414247075305,-0.362501008051738,0.591740797225076,-0.0715540564964571,-0.0629634915693827,0.169450755505922,0.922385267865868,0.211244952824026,0.283842870677675,1.26713261650364,-0.914162284832988,-0.65060843093253,-0.228493396109781,-0.340838215188225,0.573324069644764,-0.0772843612877666,-0.066885158524804,0.161608237584977,0.856262714927558,0.107640789516051,0.0993489391125993,0.300965424337674,0.110822219763572,NA,689,678,9
4,0.848756593151119,0.139358391022778,0.118281353191515,0.249583838366574,0.324404104956334,1.24019182176062,-0.948012121059846,-0.642266398492432,-0.23045247843102,-0.373249648274499,0.574762472785348,-0.0675039257070839,-0.0614345215456966,0.169017956885323,0.937029042611212,0.211028515730196,0.28379728081865,1.26808871475645,-0.903994869115439,-0.637743832759353,-0.219862322446858,-0.33946139190473,0.564533477210709,-0.0732103555486436,-0.0616702735760925,0.158192048870766,0.872712213522079,0.10661042599092,0.0996130926945996,0.302312528064661,0.111392437382446,NA,693,680,10
