"preference_model","app_rate","offer_rate","attend_rate","tot_math","amte_math","sd_Y_math","bw_gap_math","hw_gap_math","pov_gap_math","Y_black_math","Y_white_math","Y_hisp_math","Y_pov_math","Y_nonpov_math","Y_asian_math","tot_ela","amte_ela","sd_Y_ela","bw_gap_ela","hw_gap_ela","pov_gap_ela","Y_black_ela","Y_white_ela","Y_hisp_ela","Y_pov_ela","Y_nonpov_ela","Y_asian_ela","iter"
3,0.223572174759227,0.321406473361924,0.071051388829262,0.181738620080703,0.387128327390777,1.25116509183797,-0.932569436510861,-0.663059775604398,-0.157662967163377,-0.344115733381735,0.588453703129126,-0.0746060724752721,-0.0536497935277238,0.104013173635653,1.02717505058396,0.164291436243311,0.342881568321645,1.27187104665125,-0.915698639782207,-0.685769324952664,-0.158324744398081,-0.325466214452839,0.590232425329368,-0.0955368996232955,-0.069509474316003,0.0888152700820778,0.948974180019077,2
3,0.223553094157997,0.323610370212312,0.0716476576176915,0.182917631069287,0.389512189210174,1.25212448912736,-0.955944633333129,-0.686890033602412,-0.168736814281577,-0.347090789708718,0.60885384362441,-0.0780361899780018,-0.0591305057730904,0.109606308508486,1.02631331215989,0.164532295576779,0.342749432208315,1.26893104434042,-0.92365128609767,-0.692762386201644,-0.160997635578181,-0.326682838531649,0.596968447566021,-0.0957939386356231,-0.071142576947223,0.0898550586309582,0.941893365326974,6
3,0.326311672080787,0.210051602906135,0.0678887791754318,0.177579340382176,0.388842536334392,1.2535066571635,-0.965672373176569,-0.681445256178574,-0.157320479321921,-0.361572461422567,0.604099911754002,-0.0773453444245725,-0.0563316373786669,0.100988841943254,1.02259917951452,0.159869587330004,0.347521516962353,1.27318044514815,-0.931672506678412,-0.689661079034553,-0.147727285609578,-0.334532541189223,0.597139965489189,-0.0925211135453642,-0.0659039475479913,0.0818233380615865,0.923199919818905,9
3,0.341366266451056,0.195813479032461,0.0663003191230556,0.176078361444584,0.384836349779541,1.25230767616841,-0.941040546561847,-0.676556425999121,-0.165009596437668,-0.345976845393595,0.595063701168251,-0.0814927248308698,-0.0620291071107199,0.102980489326948,1.01532517795475,0.158424353780112,0.342292596378599,1.27398053627185,-0.913662765496698,-0.677449552531228,-0.157683314664235,-0.326354288435018,0.587308477061681,-0.0901410754695471,-0.0661683301470319,0.0915149845172028,0.936234430465631,11
3,0.330227965483192,0.205379326284162,0.067168486479009,0.178394209750834,0.382180874918095,1.25094592635815,-0.962737317340771,-0.680376321615136,-0.157267869621195,-0.35624217572941,0.606495141611361,-0.0738811800037747,-0.0533539137028317,0.103913955918364,1.02620726693724,0.160634363523703,0.339346169163284,1.27028542895888,-0.915391029779294,-0.689581144312471,-0.162740409194309,-0.31859538236335,0.596795647415944,-0.0927854968965274,-0.0689059728473176,0.0938344363469917,0.932522365054134,13
3,0.322924865362508,0.209477524853391,0.0669633700157892,0.177706767025204,0.389355350104648,1.25135202150523,-0.936061030308355,-0.676263596701734,-0.164158265677658,-0.34172575977849,0.594335270529865,-0.0819283261718687,-0.0622255892907021,0.101932676386955,0.996673886096462,0.15960828229724,0.340128624172492,1.27047644636075,-0.943650540303128,-0.712602870241689,-0.158241540778001,-0.326018109792389,0.617632430510739,-0.0949704397309499,-0.0676375662312892,0.0906039745467122,0.939788506153047,14
3,0.320864160429695,0.211818925146807,0.0673783730925362,0.179678164633823,0.381081469560704,1.25011841426375,-0.950050827599249,-0.67345361463065,-0.160283574143432,-0.354468496236484,0.595582331362765,-0.0778712832678844,-0.0579025142211773,0.102381059922255,1.02193229443939,0.161358630419898,0.341557144218014,1.27502871714049,-0.939811042607752,-0.694766637943127,-0.16441787226447,-0.335808835838722,0.60400220676903,-0.0907644311740976,-0.069081454936105,0.0953364173283649,0.935600655513904,17
3,0.22447850331764,0.323020038674855,0.07176214122507,0.183729872280426,0.381683912601598,1.25031077448731,-0.947969950645084,-0.665134898468463,-0.161727344295572,-0.355739905531729,0.592230045113355,-0.0729048533551079,-0.0542630149350621,0.10746432936051,1.02867320369472,0.165858854481668,0.338416146172756,1.27035996342375,-0.921469691910103,-0.697127548274972,-0.166756460703297,-0.315127116673093,0.60634257523701,-0.0907849730379625,-0.0683377165117718,0.0984187441915249,0.927866565227234,18
3,0.224044419639663,0.326605348322262,0.0723297891116549,0.18194995764555,0.392426591832001,1.25119313889604,-0.93689419012284,-0.663193963506534,-0.155218247503518,-0.346600231147639,0.590293958975201,-0.0729000045313329,-0.0516622150087531,0.103556032494765,1.01574256589348,0.163894177617991,0.348452743378611,1.27244893010128,-0.920441829686748,-0.69041014192303,-0.159844006722117,-0.320413850276106,0.600027979410642,-0.0903821625123884,-0.0651477262207808,0.0946962805013358,0.953707391276661,19
3,0.223028377624179,0.322960111218052,0.0713614485992454,0.182502293007837,0.380302220258715,1.25267774741576,-0.949915716771186,-0.666262418523018,-0.154371150841004,-0.354988936042196,0.59492678072899,-0.0713356377940279,-0.0510034289268706,0.103367721914133,1.02410926491579,0.164939429963289,0.340898229964596,1.27116475023983,-0.930280952400302,-0.686878440061823,-0.161887339352825,-0.33418248147669,0.596098470923613,-0.0907799691382099,-0.0694609144870102,0.0924264248658146,0.917290560115498,21
