"","preference_model","app_rate","offer_rate","attend_rate","tot_math","amte_math","sd_Y_math","bw_gap_math","hw_gap_math","pov_gap_math","Y_black_math","Y_white_math","Y_hisp_math","Y_pov_math","Y_nonpov_math","Y_asian_math","tot_ela","amte_ela","sd_Y_ela","bw_gap_ela","hw_gap_ela","pov_gap_ela","Y_black_ela","Y_white_ela","Y_hisp_ela","Y_pov_ela","Y_nonpov_ela","Y_asian_ela"
21,1,0.990631424796195,0.0874692425110631,0.0849229859232864,0.303251099256414,0.210067564209956,1.24807154680292,-0.989310080083147,-0.719703244489827,-0.167611785037092,-0.332384153858073,0.656925926225073,-0.0627773182647533,-0.0428740917394821,0.12473769329761,1.02676054529154,0.270920843660557,0.197926074950524,1.26865322553782,-0.954795476775541,-0.707084942641768,-0.1596164254027,-0.3257571240957,0.62903835267984,-0.078046589961928,-0.0546337749518835,0.104982650450816,0.941299793985425
22,1,0.990841311409723,0.0870703890389328,0.0845413738986916,0.303245313403227,0.209075923485152,1.24842970472109,-1.00256881800702,-0.708281233864419,-0.164425658461669,-0.357219799053943,0.645349018953075,-0.0629322149113432,-0.0454391336758321,0.118986524785837,1.01501698610882,0.27085502192243,0.197563974684277,1.26860575871503,-0.976636083689337,-0.723486765831454,-0.159885888122341,-0.337714103062063,0.638921980627274,-0.0845647852041796,-0.0598663313791583,0.100019556743183,0.942885142694195
23,1,0.990774529305418,0.0858822453214446,0.0832820542175284,0.305135032197731,0.208349580681957,1.25166910433861,-1.00321815539372,-0.707210257047284,-0.172611746372353,-0.35775484608025,0.645463309313473,-0.0617469477338111,-0.0458972055775862,0.126714540794766,1.0352651284206,0.272165741325782,0.196781585954018,1.27286381355921,-0.978772780969025,-0.723976783068887,-0.174469362511144,-0.332151410264798,0.646621370704227,-0.0773554123646606,-0.0575002650295375,0.116969097481607,0.945900813526348
24,1,0.990602803894351,0.0881555567326537,0.0856385084694019,0.302604210563892,0.211648496918513,1.24839261547551,-0.974860075394931,-0.700122915559825,-0.162580026328577,-0.336259128744834,0.638600946650097,-0.0615219689097281,-0.041571068090514,0.121008958238063,1.01696010889013,0.270708421091567,0.198502308768126,1.26840308204607,-0.966024682343155,-0.706263164171063,-0.155279439063782,-0.335964508893401,0.630060173449754,-0.0762029907213092,-0.0527275504466769,0.102551888617105,0.934399757248599
25,1,0.990889012912797,0.0887462871942502,0.0860630518467637,0.304013767809346,0.209408527537877,1.25377215589913,-1.00711782551108,-0.715400011851089,-0.17887065764395,-0.353812397148648,0.65330542836243,-0.0620945834886588,-0.0474618682692178,0.131408789374732,1.02646516478818,0.271436765907712,0.19693996987469,1.26721181179534,-0.972253136431298,-0.705811144816738,-0.174988591042092,-0.345238804396654,0.627014332034644,-0.0787968127820942,-0.0626801236277029,0.112308467414389,0.92351083574269
26,1,0.991122750277861,0.0875847066071154,0.0850994814846616,0.303468528456981,0.209144868037789,1.24884878595785,-0.987910812482032,-0.702172715104133,-0.165587354478877,-0.346606815190675,0.641303997291356,-0.060868717812777,-0.0423792118812836,0.123208142597594,1.01822955353727,0.271336915988075,0.195873971583866,1.26997757228041,-0.964582437793205,-0.72245511781972,-0.163927939184651,-0.319753052173637,0.644829385619567,-0.0776257322001531,-0.0543601655784353,0.109567773606216,0.935581847560608
27,1,0.990335675477134,0.0871292946905511,0.0845079828465395,0.304086671578569,0.208025288231077,1.2479520678959,-0.9966982667059,-0.696660999659762,-0.174982139700476,-0.359997544556334,0.636700722149566,-0.0599602775101956,-0.047128429873844,0.127853709826632,1.02031783920692,0.271937917756285,0.196020511453337,1.26923841373683,-0.960635398159835,-0.714397423857853,-0.157868157805263,-0.32462124588606,0.636014152273775,-0.0783832715840775,-0.0532519825510151,0.104616175254248,0.942986303045455
28,1,0.99045492923482,0.0868731819145042,0.0842790156317825,0.30481501763084,0.21165437452118,1.25020032728568,-0.959221944093134,-0.681426850876114,-0.155531180797195,-0.341903018996966,0.617318925096168,-0.0641079257799456,-0.0431325600267733,0.112398620770422,1.03388279935845,0.272362021391053,0.198640779716807,1.26940830898802,-0.95907635016304,-0.717330363510911,-0.169435733826749,-0.321407646889144,0.637668703273896,-0.0796616602370145,-0.0581348554236359,0.111300878403113,0.942956055332604
29,1,0.990931944265564,0.0879000269572919,0.0854858636595639,0.305161082348378,0.21051123151839,1.2525319732984,-0.988896665149775,-0.711247514296092,-0.169727391744159,-0.339446814308318,0.649449850841457,-0.0617976634546353,-0.0439842216944289,0.12574317004973,1.01556283371019,0.272509040819923,0.198267740071438,1.2706840337134,-0.945938610449236,-0.705386692878859,-0.159669651959702,-0.320517784374306,0.625420826074929,-0.0799658668039294,-0.0562627223858394,0.103406929573863,0.9352538212292
30,1,0.990516941188817,0.0876045634700865,0.0849754575766682,0.304249106085624,0.208386513418237,1.25404597167182,-1.00332241402995,-0.729105665616785,-0.171826919754084,-0.335897755721605,0.667424658308341,-0.0616810073084444,-0.0419174758960214,0.129909443858063,1.03830412097705,0.271700422850036,0.196096928327165,1.27409121808035,-0.950925595740259,-0.713519292793819,-0.159081924540825,-0.318748431069157,0.632177164671101,-0.0813421281227179,-0.0563100587953683,0.102771865745457,0.939699916836534
31,1,0.99049309043728,0.0869517058041648,0.0844078096900833,0.302955168158482,0.208095914173247,1.24875182339139,-1.0048989645828,-0.717318862775737,-0.171745682666423,-0.351265430206162,0.653633534376641,-0.063685328399096,-0.0460917338403411,0.125653948826082,1.04527099334687,0.270774387674795,0.196786980965521,1.27105158506558,-0.940102198143678,-0.706054687555632,-0.163200591849534,-0.31711746616983,0.622984731973848,-0.0830699555817845,-0.0594021251784806,0.103798466671053,0.944777302508541
32,1,0.990817460658185,0.0874383762132183,0.0847464903619113,0.304628856598524,0.210417118685377,1.25144769650826,-1.00496233093914,-0.714098530047437,-0.166891537977521,-0.351104667178012,0.653857663761125,-0.0602408662863128,-0.0417110509928326,0.125180486984689,1.05356272151803,0.272213742388436,0.197592800988108,1.27161785353746,-0.968246296267973,-0.718946066424028,-0.1680164499906,-0.325236724635548,0.643009571632425,-0.075936494791603,-0.054444564828637,0.113571885161963,0.954665917555881
