"program","predicted","actual"
1,0.00235034855703483,0.00167330474505962
2,0.00160059836866411,0.00112614045580058
3,0.00244818826894063,0.00660414572384746
4,0.00172194996371426,0.0014697087304516
5,0.00194403023402211,0.00122157608764808
6,0.00424410186060134,0.00401465891305178
7,0.00193911775324201,0.00120885133673508
8,0.00161214057559984,0.000960718693931566
9,0.00145747016986588,0.00120885133673508
10,0.00554685647361529,0.00603789430821892
11,0.00198599322179678,0.00123430083856109
12,0.00391132178960274,0.0029648669627292
13,0.0035166235893664,0.00255131255805668
14,0.009406541256246,0.00752669016504002
15,0.00128534615704394,0.000858920686627559
16,0.00177171253467531,0.0014188097267996
17,0.00164748372820481,0.00105615432577907
18,0.00382189447999246,0.00258948681079568
19,0.00382440308382041,0.00386196190209577
20,0.0023941817519995,0.00169875424688562
21,0.00319289684697975,0.00236044129436166
22,0.00329127486840066,0.0028757937063382
23,0.00488101537919456,0.00457454795322382
24,0.00316829949961892,0.00327662336009773
25,0.00400463492037435,0.00300304121546821
26,0.00197028098294957,0.0015078829831906
27,0.00197765803204589,0.00228409278888366
28,0.0013618181353795,0.00122793846310458
29,0.00127205526194419,0.000699861300215048
30,0.0128801857285274,0.0130365073103694
31,0.00212568543907333,0.00174965325053762
32,0.00143202723838693,0.00103070482395307
33,0.00195498282175201,0.00189598788603713
34,0.00584596886002348,0.00450456182320231
35,0.00698170574528468,0.00645144871289144
36,0.00344980964593148,0.00251313830531767
37,0.0016304261768374,0.00117067708399608
38,0.00368704398354003,0.00357565500655325
39,0.0123255610868413,0.0129665211803479
40,0.00251686716661889,0.00676956748571647
