"preference_model","app_rate","offer_rate","attend_rate","tot_math","amte_math","sd_Y_math","bw_gap_math","hw_gap_math","pov_gap_math","Y_black_math","Y_white_math","Y_hisp_math","Y_pov_math","Y_nonpov_math","Y_asian_math","tot_ela","amte_ela","sd_Y_ela","bw_gap_ela","hw_gap_ela","pov_gap_ela","Y_black_ela","Y_white_ela","Y_hisp_ela","Y_pov_ela","Y_nonpov_ela","Y_asian_ela","attned_rate_black","attend_rate_hisp","attend_rate_white","attend_rate_asian","n_over_sub_j","n_80_enroll_j","n_full_enroll_j","iter"
3,0.192607378406153,0.650547389138323,0.079043774673415,0.147194585175803,0.328664289313524,1.24672329475837,-0.929942282338369,-0.6488491205766,-0.234839658506795,-0.376364126543165,0.553578155795204,-0.0952709647813961,-0.084873064094447,0.149966594412348,0.952515283349172,0.115474134365573,0.286250252300797,1.26730990827237,-0.895088203128437,-0.623108953692552,-0.221514564252757,-0.36324054899695,0.531847654131487,-0.0912612995610649,-0.0816859059311858,0.139828658321571,0.852542377966663,0.0988505006922755,0.0603785165445604,0.160754378087113,0.185714285714286,438,297,167,1
3,0.191869952407888,0.654668374828283,0.0787565043046132,0.146633930370612,0.32876077862758,1.24583573630232,-0.930588578749977,-0.65613047334775,-0.245216663709333,-0.371982122546141,0.558606456203836,-0.0975240171439144,-0.0897142614142633,0.15550240229507,0.939664565017198,0.114342201341025,0.286368384560743,1.26694072450654,-0.874075979160055,-0.600380965787856,-0.223531876151382,-0.361905972691752,0.512170006468303,-0.0882109593195533,-0.0806886335979599,0.142843242553422,0.851245094368567,0.0959204044176836,0.0601687475235602,0.160080826223619,0.192610837438424,435,287,156,2
3,0.19213353037514,0.647327208829151,0.0784721954860052,0.147444445620412,0.32913718246767,1.2464063673529,-0.944709414161219,-0.658411712809828,-0.241755148035,-0.38405906006523,0.560650354095989,-0.0977613587138386,-0.0889695717788546,0.152785576256145,0.959515932852885,0.115146373439273,0.286277258841196,1.26781154468347,-0.885249115031027,-0.612332035737649,-0.217113482728997,-0.36294129702077,0.522307818010257,-0.0900242177273924,-0.0800632470022244,0.137050235726773,0.849648364778389,0.09926908587436,0.0598774016610599,0.158808561592576,0.189514426460239,440,288,152,3
3,0.192562955153245,0.650451392626997,0.0785610419918202,0.147812118120321,0.329431049191706,1.24461491810154,-0.947261477149949,-0.64604287721347,-0.246417588453688,-0.392896350067245,0.554365127082704,-0.0916777501307656,-0.0877106455812215,0.158706942872466,0.946335766534145,0.115347497066126,0.286264235238555,1.26649447814307,-0.882581971026424,-0.612624095986333,-0.223035420640785,-0.358366194699171,0.524215776327253,-0.0884083196590804,-0.0786701279648175,0.144365292675968,0.876631994089048,0.0993656824548411,0.0599473246680599,0.156413710522377,0.189936664320901,432,299,164,4
3,0.19276730211662,0.650745122138577,0.0785136571887189,0.14786781451483,0.328099711412336,1.24597376443401,-0.930499208905843,-0.654022586091067,-0.244491370184254,-0.371126031068145,0.559373177837697,-0.0946494082533695,-0.0872167870512288,0.157274583133025,0.938548344961999,0.115653523722706,0.285143862364799,1.26553187468107,-0.884096355104367,-0.623713281596635,-0.218125072254699,-0.348696622818595,0.535399732285771,-0.0883135493108641,-0.0760896556070724,0.142035416647627,0.864647289480244,0.0978523360273046,0.0595705173525596,0.162325999101931,0.190921885995778,440,294,149,5
3,0.192127607274752,0.650800012331597,0.0784840416867805,0.148225619212078,0.328190428435266,1.24454902993175,-0.937495947210558,-0.65178751557478,-0.242897251014921,-0.378441785435594,0.559054161774964,-0.0927333537998154,-0.0862737388296149,0.156623512185306,0.941795604361169,0.115931839964751,0.285924319453804,1.26843429612943,-0.887797511626125,-0.611209891589883,-0.218010317859908,-0.36385727838311,0.523940233243015,-0.0872696583468687,-0.0767815919291821,0.141228725930726,0.880804518629058,0.101040023183179,0.0598152478770598,0.15768597515342,0.186910626319493,434,295,150,6
3,0.192186838278629,0.652140413597559,0.0789341973162432,0.147935354213066,0.328638444023826,1.24714997152269,-0.949966997094967,-0.655517279124936,-0.244989400231287,-0.392029102638665,0.557937894456302,-0.0975793846686347,-0.0910258525920581,0.153963547639229,0.94940884799968,0.115381921393045,0.286099727092319,1.26723194258859,-0.885216782871863,-0.620564801752414,-0.217344427642147,-0.356462201456925,0.528754581414938,-0.091810220337476,-0.0795950047846247,0.137749422857522,0.867995988908876,0.0990758927133979,0.05995897850256,0.161577608142494,0.190077410274455,437,302,175,7
3,0.192151299676303,0.650873894146296,0.078439618433873,0.147675323127711,0.327690003479211,1.24711302896384,-0.93896834749558,-0.652857330596606,-0.239807718852383,-0.383980367602021,0.554987979893559,-0.0978693507030468,-0.08907632372732,0.150731395125063,0.955862166885506,0.115739884818883,0.285147442613798,1.26889912699645,-0.880868612193474,-0.615287782061108,-0.223994191936179,-0.354560192748207,0.526308419445267,-0.088979362615842,-0.078919997073056,0.145074194863123,0.865929088733263,0.0978201371671443,0.0594500943960595,0.159631791647957,0.1954257565095,435,287,148,8
3,0.192785071417783,0.647827823522183,0.0783093102253443,0.146403788149404,0.328410626026615,1.24778494321056,-0.94551143209841,-0.658647523903162,-0.243973347439147,-0.38551921339244,0.55999221870597,-0.0986553051971924,-0.0906598315349941,0.153313515904153,0.953640290660347,0.114073186532773,0.286119290688168,1.26672324004205,-0.874935115272185,-0.609128050645154,-0.21684256597022,-0.353277059363329,0.521658055908856,-0.0874699947362972,-0.0756229264867627,0.141219639483457,0.881906939038901,0.0999452619377274,0.0591665177565592,0.15888340068852,0.191414496833216,432,295,149,9
3,0.19266660941003,0.650762420068864,0.0788720047621727,0.146518510123363,0.329671481591513,1.24791830194655,-0.94523108377504,-0.654123108455022,-0.243949130240127,-0.387398886292108,0.557832197482933,-0.0962909109720893,-0.0892389038361494,0.154710226403977,0.954091686007251,0.114584247311429,0.286631755607347,1.2715237514346,-0.878773115917212,-0.618302250630881,-0.217139398086031,-0.350384620125181,0.528388495792031,-0.0899137548388501,-0.0772148469668306,0.1399245511192,0.865963555893909,0.0980133303281064,0.05999394000606,0.159631791647957,0.194088669950739,440,294,161,10
