estimate,stderr,D
.2340424819832952,.0422927582511249,1331101
.5109119110617889,.071381232919344,1350001
.0456176821351928,.0433375133580204,1713701
.221512367803182,.0688672972319242,1739001
.1127351093165371,.0540249929874529,1802802
.0777763570911821,.0400076310307895,1803802
.4729753669887323,.0504947651985879,1804702
.4570275859005126,.0489707913775839,1804703
.3785649543557043,.0613323377759507,1806002
.2406285072120809,.0488810543342669,1807502
.6575234844851408,.0518142323861485,1808002
.1316187636098149,.0448080653395184,1810302
.8175247964367786,.0650505558414498,1810702
.482671409112763,.0394335628961193,1811002
.1551127014550258,.0687105045645618,1811202
.2539857161384739,.0490259517997747,1811802
.3467420099764763,.0847625205685473,1811803
.2409251309569018,.0385714935944127,1812702
.2556116106809755,.0366444596196656,1813702
.1850142223857136,.0507805219497248,1815102
.4036606600358106,.04512014409245,1816802
.320992450485635,.0660801394206132,1817902
.5936224449184443,.044561632022431,1818202
.3077897762203932,.0481720603747886,1820802
.3186684440256402,.0463020171731226,1821702
.3816764751313604,.0383493986101648,1822602
.0136095193470102,.0368172546986894,1823502
.1830708469655838,.0515075725232627,1823702
.2786719823267785,.0646269867344332,1825502
.1329766853636505,.0514547477669649,1827202
.1174409970977743,.0445029728115723,1832102
.3145431850780983,.0564769158947929,1832103
.1955934671616634,.0516187933102925,1835202
.6786126704590915,.0456710511465755,1835402
.1257683728233122,.0281730892947382,1835602
.4106836695035618,.0594717339847506,1836302
.2763125750272127,.0356167406367399,1838702
.1736759880834621,.0395044277536725,1849302
.0892134867248341,.0387386717933917,1874101
.1951559875316209,.1565920109295093,1884201
