i,_j,tot_ela,yobs_ela,y_black_ela,y_white_ela,y_hisp_ela,y_asian_ela,y_pov_ela,y_nonpov_ela,delta_max_ela,sd_yobs_ela,attend_rate_asian,attend_rate_black,attend_rate_hisp,attend_rate_white,tot_math,yobs_math,y_black_math,y_white_math,y_hisp_math,y_asian_math,y_pov_math,y_nonpov_math,delta_max_math,sd_yobs_math,_merge
1,1,.31567925,-.00012829166,-.15343767,.86043423,-.13940229,.90080541,-.10347585,.23914926,.037041672,.84028494,.067417309,.26132596,.07139916,.31421193,.35183811,.0055943136,-.33650222,.8172363,-.11880761,1.1334186,-.089400962,.22553407,.041435625,.80598634,Matched (3)
1,2,.31829405,.0003350894,-.13789357,.80075687,-.13545986,.90436274,-.10002899,.23270507,.037500255,.83479941,.078888103,.30914125,.084070764,.12393355,.35197836,.0056225886,-.33628225,.81311959,-.1184255,1.1335772,-.089149013,.22504447,.04146361,.80572468,Matched (3)
