"program","predicted","actual"
1,0.758243725503577,0.844106463878327
2,0.415485654563253,0.525423728813559
3,0.570927546395027,0.175337186897881
4,0.215490305791949,0.255411255411255
5,0.903069056452808,0.640625
6,0.614352099892079,0.675118858954041
7,0.825950894769923,0.852631578947368
8,0.906107770245457,0.966887417218543
9,0.890349176613101,0.921052631578947
10,0.523510966884839,0.463645943097998
11,0.839350101682081,0.77319587628866
12,0.732922661466687,0.796137339055794
13,0.99201398445817,0.498753117206983
14,0.487606156086336,0.455621301775148
15,0.830900969581126,0.622222222222222
16,0.643166462279092,0.488789237668161
17,0.814067891576089,0.662650602409639
18,0.556743110134425,0.626535626535627
19,0.603605950770525,0.57825370675453
20,0.935348509809471,0.632958801498127
21,0.752218550955856,0.795148247978437
22,0.612542787337535,0.665929203539823
23,0.573994576384007,0.599443671766342
24,0.902378307232946,0.722330097087379
25,0.822078503772723,0.813559322033898
26,0.938098594798441,0.881856540084388
27,0.668247519451645,0.515320334261838
28,0.896016538241264,0.803108808290155
29,0.813442081160829,0.790909090909091
30,0.419632063814357,0.474865788189361
31,0.866318554339027,0.934545454545455
32,0.829926209773742,0.91358024691358
33,0.52420372475971,0.536912751677852
34,0.647391286970094,0.659604519774011
35,0.411499043182914,0.380670611439842
36,0.981295936451116,0.840506329113924
37,0.836235619748821,0.657608695652174
38,0.764423197966897,0.800711743772242
39,0.212249897880506,0.320412168792934
40,0.0315978899125024,0.0178571428571429
