estimate,stderr,D
.1613832520613699,.0326638430726553,1331101
.4987086285294687,.0711132353592482,1350001
.722564855292075,.0612131123447059,1521901
.4857628853759381,.0504155922167674,1643802
-.0249946775273491,.0328949645578847,1713701
.1660958101518335,.0554738504017323,1739001
.1998043747746951,.0507508729559663,1802802
.047680405994259,.0318886758020132,1803802
.3740550206556723,.0382661725014287,1804702
.3399974751539739,.0396083430711183,1804703
.5661932241566466,.0548323336464799,1806002
.5370789501498869,.072513863359989,1806602
.1925604395823052,.0301267037421202,1807502
.5884798835617954,.0339256773662585,1808002
.0829395535266878,.03268184797134,1810302
.6632667053044181,.0442051072290218,1810702
.47921732191373,.0291327368801957,1811002
.0843543945723282,.0583025082419477,1811202
.2790219479905923,.035789599903309,1811802
.4887474936504886,.0896670591093135,1811803
.2169703375228644,.0245591329177744,1812702
.2729782405658367,.0327027719140079,1813702
.3060953717663463,.0437083580986056,1815102
.3307459416524963,.0359090981579614,1816802
.2299791783618562,.0597012099517039,1817902
.455917754109057,.0390908734496233,1818202
.0473614133683545,.0457836396039681,1820801
.2944859479102466,.0387221985882439,1820802
.3385878486104826,.0748933798871272,1820803
.4015747224592675,.0316456895261088,1821702
.2616526596082431,.0376439584910464,1822602
-.0227943127232839,.025167464410611,1823502
.302769001727762,.0550461242911745,1823702
.4580838959357966,.0433823948957405,1824002
.3879264896843739,.0620630035089998,1825502
-.0284227075127713,.0439326916012546,1825902
.3524637995900274,.0514534348544055,1826802
.1929954793726028,.0344063811862901,1827202
.0910007547104506,.036027847360502,1832102
.2583149222873325,.0448333212050643,1832103
.2413015995400802,.0370500715661619,1835202
.5822629943540699,.0321678066150815,1835402
.2147818583081252,.0192094707800717,1835602
.3854087433515351,.0421436896196844,1836302
.2869108748676252,.0239408728113554,1838702
.2137704913115084,.1227127189104195,1839601
-.0834390367900787,.0374180889070569,1839602
.1383054454294519,.135029933688336,1839603
.1833795376117652,.0844785342264537,1842502
.0595235796292323,.0774515346470843,1849301
.133159546224967,.0267058568705585,1849302
.1015710296310515,.0266010286923113,1874101
.1312205489568859,.0541801854288123,1884201
