estimate,stderr,D
.1583993489562839,.0420535689055551,1331101
.2207389268703668,.0524967874788113,1350001
.1267443461149964,.0347450509963181,1713701
.1964315922505453,.0698692954368512,1739001
.3079295915335217,.0429713678260002,1802802
.2477763405111187,.0329931984111888,1803802
.2864895730470884,.0429698281446157,1804702
.3322694852892029,.0422889087827071,1804703
.382733389366285,.0359465094810031,1806002
.2487119986537633,.0347432716070568,1807502
.3812882773372832,.0418684767281009,1808002
.2105535112849942,.0347627474494674,1810302
.5014250620395819,.0513789900635009,1810702
.3778187310450994,.0427404008801257,1811002
.3642623002607264,.0453597499389514,1811202
.2147448163795462,.0428945743852671,1811802
.403765808802589,.0804292258378202,1811803
.2859595978147828,.0297619956396652,1812702
.0973558560355039,.0257218505294298,1813702
.3497038456818336,.04444570149872,1815102
.2254446635645652,.0456078288290487,1816802
.2817544084519261,.0438213762401387,1817902
.3669905343696117,.0358770159814187,1818202
.3293220418289927,.0359800088734888,1820802
.3529077266688684,.0347839084141714,1821702
.3206429951769817,.0355149455348379,1822602
.1395418757004361,.0411547903265413,1823502
.1706102115460984,.0478521497441857,1823702
.1570546143596552,.0497924753018985,1825502
.0937390752441885,.031537880858267,1827202
.1766198950335479,.0383659783991377,1832102
.2338716320764811,.0480211895304979,1832103
.1737439902490927,.0467886123065389,1835202
.3951260110805581,.03262632181364,1835402
.1196371319186748,.0266220953874641,1835602
.2568707666431789,.033263884308566,1836302
.1800785655504409,.0370456558218684,1838702
.2132004979711393,.0350988839882506,1849302
.1552949293129289,.0260743481505688,1874101
.010461254739656,.0615261004255679,1884201
