"","preference_model","app_rate","offer_rate","attend_rate","tot_math","amte_math","sd_Y_math","bw_gap_math","hw_gap_math","pov_gap_math","Y_black_math","Y_white_math","Y_hisp_math","Y_pov_math","Y_nonpov_math","Y_asian_math","tot_ela","amte_ela","sd_Y_ela","bw_gap_ela","hw_gap_ela","pov_gap_ela","Y_black_ela","Y_white_ela","Y_hisp_ela","Y_pov_ela","Y_nonpov_ela","Y_asian_ela"
8,2,0.175865901534557,0.420283172398828,0.0734746251854389,0.188488478279885,0.255461727058,1.25405838138977,-0.946474851006796,-0.675660856360645,-0.158662651207266,-0.346252112295109,0.600222738711687,-0.0754381176489581,-0.053885697222433,0.104776953984833,1.03483786371331,0.145308472564832,0.226583083283897,1.27737737376067,-0.901214191682883,-0.659237998866518,-0.152507272884569,-0.329282254804721,0.571931936878161,-0.0873060619883565,-0.06277493093327,0.0897323419512994,0.949679474750456
9,2,0.177277866025558,0.419895597890432,0.0739516402161784,0.188664203241937,0.254134469593207,1.25227610836017,-0.916616359313795,-0.645232811475658,-0.158562872269609,-0.338849689814574,0.577766669499221,-0.0674661419764371,-0.0483562083489117,0.110206663920697,1.03091838756879,0.145502762695576,0.226594534386837,1.27490984135452,-0.919697979971651,-0.676531413079912,-0.167283807453655,-0.333353771826365,0.586344208145286,-0.0901872049346259,-0.0706219141847333,0.0966618932689215,0.930442469305832
10,2,0.175407967105043,0.425486783422169,0.0741472163787948,0.190465850946514,0.256182836466062,1.25390001530219,-0.937009226589791,-0.675381504766009,-0.171081875631756,-0.3388753703423,0.598133856247491,-0.0772476485185178,-0.0585998919951822,0.112481983636574,1.04142523463138,0.147043299957,0.227046765516621,1.27158626486,-0.908827053163316,-0.676502462139759,-0.159548904385563,-0.325671238523911,0.583155814639405,-0.093346647500354,-0.0695462137387625,0.0900026906468007,0.94434576650256
11,2,0.176710218138974,0.418760966392226,0.0734889356363658,0.190488216308727,0.255071899384961,1.25312435190453,-0.949613685417644,-0.674478565812385,-0.155881341644627,-0.347542962224929,0.602070723192715,-0.07240784261967,-0.049943105045496,0.105938236599131,1.05716220498037,0.147160456864356,0.22666342894818,1.27260140504472,-0.917813159481479,-0.686131015326686,-0.154116340316443,-0.324462965620867,0.593350193860612,-0.0927808214660744,-0.0662771471876594,0.0878391931287832,0.9500435951448
12,2,0.176686367387436,0.425107991360691,0.0746146911089164,0.189952979697092,0.255488480987208,1.25314246209307,-0.934639366738193,-0.671201016182685,-0.163274641307432,-0.34167052727836,0.592968839459833,-0.0782321767228523,-0.0580133464151023,0.10526129489233,1.03263678741655,0.145845331148017,0.227346127779737,1.27117190230326,-0.921803168864379,-0.680772462910157,-0.16976294013683,-0.332500469702204,0.589302699162175,-0.0914697637479823,-0.0723811382125472,0.0973818019242826,0.92704120880314
13,2,0.178623048412255,0.4168135448379,0.0740231924707865,0.18666058117058,0.25435642277264,1.25311636406907,-0.925961184769742,-0.65658002408092,-0.16589705316751,-0.341318935304633,0.584642249465109,-0.0719377746158114,-0.0544067767456785,0.111490276421831,1.03207814752947,0.143439008039356,0.226190424838978,1.27341556371174,-0.929347913785076,-0.689856759188257,-0.155114272043113,-0.330244741949428,0.599103171835647,-0.0907535873526099,-0.0655880180677897,0.0895262539753233,0.947517215022272
14,2,0.176891483850656,0.419059946606262,0.0736749714983548,0.189038671388464,0.257117386846227,1.25187160901063,-0.940972179772588,-0.674261168068856,-0.160586745305119,-0.340606333803597,0.600365845968991,-0.0738953220998652,-0.0529738709644218,0.107612874340697,1.01422545106278,0.145586171054162,0.228404401037789,1.27123313602771,-0.910396700260088,-0.681549186893886,-0.156078060518836,-0.319783598863887,0.590613101396201,-0.0909360854976854,-0.0652501535677491,0.0908279069510864,0.945049584439247
15,2,0.176094868749314,0.41903239787626,0.0733601415780583,0.189186700796448,0.256573148409396,1.25566434659276,-0.931651766075544,-0.668807214467588,-0.166606029370375,-0.337671208899667,0.593980557175877,-0.0748266572917109,-0.0558788715995357,0.110727157770839,1.01751391104554,0.145950526256184,0.227340073170485,1.27339500605242,-0.917372879899126,-0.680919520218485,-0.15261599150393,-0.325584966805327,0.591787913093798,-0.0891316071246865,-0.0630565642478927,0.0895594272560374,0.946576579058035
16,2,0.178155573682127,0.41667559173182,0.0737322133020449,0.189158806626162,0.256504973080956,1.2553454813475,-0.93211005792863,-0.66593899893929,-0.168422753645024,-0.341059462002521,0.591050595926109,-0.0748884030131811,-0.0561517459924336,0.11227100765259,1.04506380546669,0.145555063172669,0.228404296678955,1.27177768022201,-0.899745283655076,-0.670467108409199,-0.152607336572689,-0.316859586812573,0.582885696842504,-0.0875814115666953,-0.0628266104200622,0.0897807261526269,0.934762263272323
17,2,0.17831775879258,0.414103044245894,0.0734221535320448,0.188078345627647,0.256126065479332,1.25494985911859,-0.945713244264834,-0.665451835867493,-0.161318888834522,-0.356205381540784,0.58950786272405,-0.0759439731434433,-0.0565198012357509,0.104799087598771,1.04253045218092,0.145254618282722,0.227095078429923,1.27130897574479,-0.903151139513755,-0.674111433590416,-0.156576487588939,-0.318889093608149,0.584262045905607,-0.0898493876848091,-0.0649826170036844,0.091593870585255,0.956121553376313
18,2,0.176137800102081,0.419011509817197,0.0733887624799035,0.190151412538019,0.256499542175165,1.25318548207214,-0.922612378732196,-0.656817336863517,-0.16511756303502,-0.33977267044162,0.582839708290576,-0.073977628572941,-0.0557631838778472,0.109354379157172,1.03370832349717,0.145832542816821,0.22807485522674,1.27310360643091,-0.920717978085203,-0.68127315686339,-0.159925065291463,-0.328060706547079,0.592657271538124,-0.088615885325266,-0.0655191444957997,0.0944059207956637,0.944641238342886
19,2,0.175083596884138,0.421289232781168,0.0732695087222287,0.189873807171842,0.255705713933361,1.25487158916915,-0.943970241261517,-0.665540146644019,-0.167596752742716,-0.356036099923221,0.587934141338295,-0.0776060053057238,-0.0596202776120721,0.107976475130644,1.0470332909863,0.145970359768527,0.226220867725307,1.27064941029651,-0.910500900508249,-0.678361208998412,-0.156478378628253,-0.322961975277262,0.587538925230987,-0.0908222837674251,-0.0657642722140043,0.0907141064142488,0.955420954702133
