"program","predicted","actual"
1,0.485343818927206,0.869369369369369
2,0.386621757350306,0.806451612903226
3,0.604947592415485,0.813186813186813
4,0.538611336268988,0.830508474576271
5,0.437557851041607,0.886178861788618
6,0.576045850204207,0.917840375586854
7,0.429373228259188,0.925925925925926
8,0.347396577386769,0.856164383561644
9,0.316397864748323,0.857142857142857
10,0.63747517976276,0.954545454545455
11,0.454998507528316,0.846666666666667
12,0.616172230553191,0.905660377358491
13,0.561796950776393,0.835
14,0.772852176255616,0.951762523191095
15,0.283901212085508,0.857142857142857
16,0.42578236390989,0.963302752293578
17,0.401059302410587,0.954545454545455
18,0.623092190974073,0.949019607843137
19,0.585840151955019,0.849002849002849
20,0.466185487914102,0.923076923076923
21,0.545923036782843,0.91864406779661
22,0.552077903654797,0.906976744186046
23,0.619239821564757,0.911832946635731
24,0.529528041378284,0.935483870967742
25,0.622292105712029,0.8671875
26,0.414228640860864,0.875598086124402
27,0.45944568173118,0.881081081081081
28,0.302369206424193,0.703225806451613
29,0.290902776678731,0.655172413793103
30,0.790283188465325,0.960945529290853
31,0.449375340788061,0.778210116731518
32,0.310156338395142,0.837837837837838
33,0.45123051292458,0.89375
34,0.652708227147331,0.925053533190578
35,0.734181303169965,0.911917098445596
36,0.567145948626007,0.882530120481928
37,0.355551868226007,0.958677685950413
38,0.565692640648413,0.913333333333333
39,0.871415137701589,0.96937212863706
40,0.990110473082452,0.894736842105263
