estimate,stderr,D
.1419599142937502,.0387050908678665,1331101
.3895256784944485,.0651471399500984,1350001
-.0193645158111233,.0407338136662899,1713701
.1384660512094903,.0645908493121301,1739001
-.0279285487203421,.0433555871975971,1802802
-.0598156281816735,.0275216291798344,1803802
.3380935733210086,.0415193038761536,1804702
.3267904399781843,.0400504112176998,1804703
.2119861156094453,.0499710959839749,1806002
.1174708452190664,.0437998805568902,1807502
.5205905354816763,.0418385400254761,1808002
-.0139157350545527,.0358207996106114,1810302
.6921982852069445,.0595929024752096,1810702
.4012879568184006,.0397120318624791,1811002
-.0038819276784889,.0579163261617698,1811202
.1471003974309907,.0489297790489423,1811802
.2253797821342061,.0853868837072775,1811803
.1646419267043904,.0395113434826679,1812702
.1541623161012627,.027108228291444,1813702
.030201186692803,.0381060753073373,1815102
.2952081735302515,.0359625026816416,1816802
.179443296060345,.0673318405412717,1817902
.5000634832681263,.0430426689263198,1818202
.1748616409122869,.0358136436258962,1820802
.2046533043370946,.0356362919215734,1821702
.2492580557757566,.0265446300930014,1822602
-.0595158191250163,.0351509360657858,1823502
.0214538572777727,.0371772930247661,1823702
.1412396354071536,.058447097457937,1825502
.0542577716571826,.0425982805474987,1827202
-.0003210727412953,.0363712889231749,1832102
.1943305849854347,.0514722035798724,1832103
.0929808832288055,.050194565482322,1835202
.5764935897505679,.037547939194036,1835402
.0531161102941658,.024401686070074,1835602
.2823483130721066,.0530587495719126,1836302
.1710555215563581,.031292071840714,1838702
.0644758521837088,.0338882435230827,1849302
.0141877890491871,.0355002707595573,1874101
.1642560244088366,.1537269932286706,1884201
